Vill_Th,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
บ้านห้วยปู่ลิง,"16","13",6,495,489,1091,68.1875,27.5,118.115525413681,8,6,15,45,30
บ้านป่าแขม,"3","3",8,216,208,289,96.3333333333333,65,87.7585070267012,8,8,36.5,140.5,104
บ้านขุนกลาง,"22","21",5,1747,1742,5690,258.636363636364,71.5,441.020360842542,9,5,15,159,144
บ้านผาหมอน,"40","23",2,1747,1745,3155,78.875,8.5,299.187248015352,2,4,4.5,19,14.5
บ้านเมืองอาง,"64","36",2,157,155,1495,23.359375,12,28.5467638202542,5,7,7,26.5,19.5
บ้านแม่จร,"1","1",17,17,0,17,17,17,0,17,17,17,17,0
บ้านขุนแปะ,"6","6",2,178,176,258,43,19,61.1419114301584,2,2,9,31,22
บ้านบนนา,"15","10",2,62,60,180,12,6,16.0748250379281,2,3,3,9.5,6.5
บ้านต้นผึ้ง,"1","1",10,10,0,10,10,10,0,10,10,10,10,0
บ้านทุ่งพัฒนา,"7","5",2,198,196,220,31.4285714285714,3,68.0417038983281,3,2,2,6.5,4.5
บ้านม่อนหิน,"2","2",17,198,181,215,107.5,107.5,90.5,17,17,17,198,181
บ้านห้วยขนุน,"10","7",1,19,18,62,6.2,3,6.20966987850401,1,2,2,8,6
บ้านห้วยส้มป่อย,"11","11",2,45,43,195,17.7272727272727,17,12.1811397368742,2,2,8.5,23,14.5
บ้านขุนแตะ,"37","20",1,236,235,673,18.1891891891892,7,39.0293291227894,1,3,5,18,13
บ้านห้วยมะนาว - หินเหล็กไฟ,"38","23",1,236,235,1003,26.3947368421053,9.5,48.1174765677351,5,4,4,17,13
บ้านใหม่แม่เตี๊ยะ,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
บ้านห้วยสะแพด,"4","3",5,43,38,66,16.5,9,15.3866825534291,5,9,7,26,19
บ้านวังน้ำหยาด,"4","3",6,79,73,106,26.5,10.5,30.5327692815441,15,6,6,47,41
บ้านห้วยพัฒนา,"1","1",8,8,0,8,8,8,0,8,8,8,8,0
บ้านใหม่ป่าตึง,"42","26",3,66,63,848,20.1904761904762,12,19.1662377946694,3,7,7,25,18
บ้านป่าสักงาม,"2","2",23,28,5,51,25.5,25.5,2.5,23,23,23,28,5
บ้านโป่งกุ่ม,"2","2",21,45,24,66,33,33,12,21,21,21,45,24
บ้านแม่หวาน,"2","2",9,19,10,28,14,14,5,9,9,9,19,10
บ้านปางแฟน,"3","3",1,4,3,8,2.66666666666667,3,1.24721912892465,1,1,2,3.5,1.5
บ้านปางอั้น,"4","4",22,115,93,200,50,31.5,38.0985564030975,22,22,23,77,54
บ้านห้วยหม้อ,"7","6",7,115,108,223,31.8571428571429,20,35.5142972072157,7,9,9,31.5,22.5
บ้านปางบง,"3","3",10,52,42,106,35.3333333333333,44,18.2086670449969,10,10,27,48,21
บ้านดง,"10","9",1,22,21,97,9.7,9,5.76281181368956,1,9,5,12,7
บ้านปางไฮ,"1","1",65,65,0,65,65,65,0,65,65,65,65,0
บ้านน้ำโค้ง,"9","9",2,104,102,288,32,26,31.6649122321011,2,2,8,39,31
บ้านสันติสุข,"1","1",8,8,0,8,8,8,0,8,8,8,8,0
บ้านวังหลวง,"3","3",13,107,94,163,54.3333333333333,43,39.2031744746377,13,13,28,75,47
บ้านสันมะกอกหวาน,"3","3",26,89,63,150,50,35,27.8208554864871,26,26,30.5,62,31.5
บ้านหนองไผ่,"20","19",4,168,164,858,42.9,30,41.6820105081317,4,8,10,55,45
บ้านสวนชา,"2","2",56,111,55,167,83.5,83.5,27.5,56,56,56,111,55
บ้านขอบด้ง,"5","5",2,172,170,251,50.2,33,62.7579477038566,2,2,4,40,36
บ้านม่วงชุม,"1","1",33,33,0,33,33,33,0,33,33,33,33,0
บ้านลาน,"1","1",100,100,0,100,100,100,0,100,100,100,100,0
บ้านต้นผึ้งใต้,"21","19",3,490,487,1429,68.0476190476191,36,107.378492211286,14,3,16,56,40
บ้านใหม่หัวฝาย,"9","9",10,490,480,993,110.333333333333,31,147.915140837201,10,10,16,104,88
บ้านท่าหัด,"1","1",74,74,0,74,74,74,0,74,74,74,74,0
บ้านห้วยปอน,"4","4",5,13,8,40,10,11,3.08220700148449,5,5,7.5,12.5,5
บ้านสันทรายคองน้อย,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
บ้านใหม่คลองน้อย,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
บ้านสันป่าไหน่,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
บ้านหนองอึ่ง,"96","48",2,234,232,2541,26.46875,16,33.549699801501,2,10,10,30,20
บ้านสันป่ายาง,"4","4",6,54,48,132,33,36,20.6155281280883,6,6,13,53,40
บ้านโป่งถืบ,"3","3",9,30,21,50,16.6666666666667,11,9.46337971105226,9,9,10,20.5,10.5
บ้านท่าสะแล,"2","1",5,5,0,10,5,5,0,5,5,5,5,0
บ้านใหม่สันคะยอม,"4","4",6,227,221,334,83.5,50.5,86.2974507155339,6,6,17,150,133
บ้านเตียนอาง,"89","32",1,338,337,1641,18.438202247191,8,41.7157193060065,18,3,3,16,13
บ้านแม่ลายเหนือ,"34","14",1,71,70,295,8.67647058823529,5.5,12.1817621352464,13,3,3,10,7
บ้านแม่ลายใต้,"15","11",1,38,37,133,8.86666666666667,6,8.73206097601757,1,6,3.5,11,7.5
บ้านพุย,"73","27",1,285,284,1199,16.4246575342466,6,36.6246858168652,1,2,4,14,10
บ้านนาฟ่อน,"2","2",2,12,10,14,7,7,5,2,2,2,12,10
บ้านขุน,"2","2",10,39,29,49,24.5,24.5,14.5,10,10,10,39,29
บ้านวังกอง,"13","12",2,35,33,184,14.1538461538462,12,10.113556430289,2,4,4,19,15
บ้านแม่สะนาม,"25","15",2,80,78,354,14.16,9,15.6324790100611,2,5,5,16,11
บ้านบ่อหลวง,"10","9",2,40,38,133,13.3,9,11.5243221058768,2,5,4,21,17
บ้านบ่อพะแวน,"13","12",1,63,62,221,17,7,18.8598066716578,1,2,3,22,19
บ้านบ่อสะแง๋,"31","21",1,144,143,676,21.8064516129032,9,30.6872037583375,1,4,4.5,22.5,18
บ้านกิ่วลม,"2","2",3,4,1,7,3.5,3.5,0.5,3,3,3,4,1
บ้านกองปะ,"110","44",1,285,284,2409,21.9,12,32.7380651396949,10,7,6,25,19
บ้านทุ่ง,"3","3",3,32,29,50,16.6666666666667,15,11.8977121983832,3,3,9,23.5,14.5
บ้านใหม่ทุ่งสน,"28","17",2,65,63,425,15.1785714285714,10,14.8637948707315,2,4,5,19.5,14.5
บ้านกองลอย,"70","27",1,209,208,1065,15.2142857142857,8.5,27.0147540943002,1,3,4,14,10
บ้านแม่โถ,"1","1",209,209,0,209,209,209,0,209,209,209,209,0
บ้านดอกแดง,"15","10",3,48,45,186,12.4,6,12.0321790766816,7,4,4,15.5,11.5
บ้านแม่แวน,"6","5",1,6,5,20,3.33333333333333,3.5,1.59861050777091,1,4,2,4,2
บ้านแม่อมลอง,"61","26",1,274,273,1122,18.3934426229508,10,35.3220679121561,2,8,7,19,12
บ้านบ่อสลี,"65","34",1,159,158,1354,20.8307692307692,11,27.0552535667683,1,6,6,21,15
บ้านแม่โถหลวง,"3","2",9,63,54,81,27,9,25.4558441227157,63,9,9,36,27
บ้านดอยคำ,"33","24",3,850,847,1950,59.0909090909091,12,156.921397740622,7,6,6,25,19
บ้านแม่ลอง,"20","17",1,850,849,1498,74.9,15.5,184.008396547549,1,5,5.5,54.5,49
บ้านแควมะกอก,"1","1",35,35,0,35,35,35,0,35,35,35,35,0
บ้านแพะดินแดง,"3","3",7,35,28,50,16.6666666666667,8,12.9700509722291,7,7,7.5,21.5,14
บ้านตีนตก,"6","6",6,184,178,277,46.1666666666667,21.5,62.5284379746972,6,6,7,37,30
บ้านแม่ลายดวงจันทร์,"13","13",1,294,293,651,50.0769230769231,19,82.3645382416687,1,1,5,28,23
บ้านแจ่มหลวง,"40","26",4,92,88,949,23.725,18,20.4328014476723,5,7,7,31,24
บ้านเสาแดง,"72","50",0,1421,1421,5810,80.6944444444444,22,202.028644757295,0,4,9.5,63,53.5
